s521 reproduces_preregistered_metrics=True batch_canary=3.81e-06 |J|max=33.7 rel=1.1e-07 oracle_in_Qbest=0.09 (chance ~0.20)
   D1       flip_scaf 0.87/0.98 d=-0.11 | flip_native_cls 0.60/0.62 d=-0.02
   DISC_0.5 flip_scaf 0.98/1.00 d=-0.02 | flip_native_cls 0.34/0.32 d=+0.02
   DISC_0.8 flip_scaf 1.00/0.98 d=+0.02 | flip_native_cls 0.53/0.47 d=+0.06
   FIDW     flip_scaf 0.77/0.06 d=+0.70 | flip_native_cls 0.68/0.62 d=+0.06
   FULL     flip_scaf 0.96/0.96 d=+0.00 | flip_native_cls 0.49/0.43 d=+0.06
s522 reproduces_preregistered_metrics=True batch_canary=0.000244 |J|max=19.2 rel=1.3e-05 oracle_in_Qbest=0.20 (chance ~0.20)
   D1       flip_scaf 1.00/1.00 d=+0.00 | flip_native_cls 0.43/0.43 d=+0.00
   DISC_0.5 flip_scaf 1.00/1.00 d=+0.00 | flip_native_cls 0.33/0.30 d=+0.02
   DISC_0.8 flip_scaf 0.02/0.02 d=+0.00 | flip_native_cls 0.09/0.09 d=+0.00
   FIDW     flip_scaf 1.00/1.00 d=+0.00 | flip_native_cls 0.28/0.33 d=-0.04
   FULL     flip_scaf 0.96/0.17 d=+0.78 | flip_native_cls 0.11/0.17 d=-0.07
s523 reproduces_preregistered_metrics=True batch_canary=1.53e-05 |J|max=27.6 rel=5.5e-07 oracle_in_Qbest=0.22 (chance ~0.20)
   D1       flip_scaf 1.00/0.96 d=+0.04 | flip_native_cls 0.50/0.43 d=+0.07
   DISC_0.5 flip_scaf 1.00/1.00 d=+0.00 | flip_native_cls 0.57/0.54 d=+0.02
   DISC_0.8 flip_scaf 1.00/0.00 d=+1.00 | flip_native_cls 0.57/0.43 d=+0.13
   FIDW     flip_scaf 0.52/0.00 d=+0.52 | flip_native_cls 0.33/0.43 d=-0.11
   FULL     flip_scaf 0.61/0.00 d=+0.61 | flip_native_cls 0.63/0.59 d=+0.04
s524 reproduces_preregistered_metrics=True batch_canary=0 |J|max=52.8 rel=0 oracle_in_Qbest=0.19 (chance ~0.20)
   D1       flip_scaf 0.98/0.89 d=+0.09 | flip_native_cls 0.45/0.32 d=+0.13
   DISC_0.5 flip_scaf 1.00/1.00 d=+0.00 | flip_native_cls 0.64/0.74 d=-0.11
   DISC_0.8 flip_scaf 1.00/0.89 d=+0.11 | flip_native_cls 0.57/0.66 d=-0.09
   FIDW     flip_scaf 1.00/0.96 d=+0.04 | flip_native_cls 0.49/0.62 d=-0.13
   FULL     flip_scaf 0.74/0.70 d=+0.04 | flip_native_cls 0.47/0.66 d=-0.19
s525 reproduces_preregistered_metrics=True batch_canary=0 |J|max=419 rel=0 oracle_in_Qbest=0.12 (chance ~0.20)
   D1       flip_scaf 0.80/0.84 d=-0.04 | flip_native_cls 0.95/0.95 d=+0.00
   DISC_0.5 flip_scaf 0.79/0.62 d=+0.16 | flip_native_cls 0.00/0.00 d=+0.00
   DISC_0.8 flip_scaf 1.00/0.75 d=+0.25 | flip_native_cls 0.00/0.00 d=+0.00
   FIDW     flip_scaf 1.00/0.93 d=+0.07 | flip_native_cls 0.95/0.95 d=+0.00
   FULL     flip_scaf 1.00/1.00 d=+0.00 | flip_native_cls 0.96/0.96 d=+0.00
D1       (c)-on-scaffold diff>0.15: 0/5 ; (c)-native-first-class diff>0.15: 0/5
DISC_0.5 (c)-on-scaffold diff>0.15: 1/5 ; (c)-native-first-class diff>0.15: 0/5
DISC_0.8 (c)-on-scaffold diff>0.15: 2/5 ; (c)-native-first-class diff>0.15: 0/5
FIDW     (c)-on-scaffold diff>0.15: 2/5 ; (c)-native-first-class diff>0.15: 0/5
FULL     (c)-on-scaffold diff>0.15: 2/5 ; (c)-native-first-class diff>0.15: 0/5
